name,composition,category
MAI,C1H6N1I1,A-site
MABr,C1H6N1Br1,A-site
MACl,C1H6N1Cl1,A-site
FAI,C1H5N2I1,A-site
FABr,C1H5N2Br1,A-site
FACl,C1H5N2Cl1,A-site
GAI,C1H6N3I1,A-site
GABr,C1H6N3Br1,A-site
GACl,C1H6N3Cl1,A-site
CsI,Cs1I1,A-site
CsBr,Cs1Br1,A-site
CsCl,Cs1Cl1,A-site
PbI2,Pb1I2,B-site
PbBr2,Pb1Br2,B-site
PbCl2,Pb1Cl2,B-site
SnI2,Sn1I2,B-site
SnBr2,Sn1Br2,B-site
SnCl2,Sn1Cl2,B-site
SnF2,Sn1F2,B-site
HgI2,Hg1I2,B-site
HgBr2,Hg1Br2,B-site
HgCl2,Hg1Cl2,B-site
CdI2,Cd1I2,B-site
CdBr2,Cd1Br2,B-site
CdCl2,Cd1Cl2,B-site
ZnI2,Zn1I2,B-site
ZnBr2,Zn1Br2,B-site
ZnCl2,Zn1Cl2,B-site
FeI2,Fe1I2,B-site
FeBr2,Fe1Br2,B-site
FeCl2,Fe1Cl2,B-site
NiI2,Ni1I2,B-site
NiBr2,Ni1Br2,B-site
NiCl2,Ni1Cl2,B-site
CoI2,Co1I2,B-site
CoBr2,Co1Br2,B-site
CoCl2,Co1Cl2,B-site
InI3,In1I3,B-site
InBr3,In1Br3,B-site
InCl3,In1Cl3,B-site
BiI3,Bi1I3,B-site
BiBr3,Bi1Br3,B-site
BiCl3,Bi1Cl3,B-site
TiI4,Ti1I4,B-site
TiBr4,Ti1Br4,B-site
TiCl4,Ti1Cl4,B-site
